%ID											VALUE
%===============================================================================================
% MENU BUTTONS
%===============================================================================================
BUTTON-PROTOTYPE							Prototype
BUTTON-OPTIONS								Options
BUTTON-QUIT									Quit
BUTTON-READY						        Ready
BUTTON-EDITOR								Editor
BUTTON-EDITOR-LOAD							Load
BUTTON-EDITOR-SAVE							Save
BUTTON-EDITOR-CLEAR							Clear
BUTTON-EDITOR-TEST							Test
BUTTON-FIGHT								Fight!
BUTTON-ACHIEVEMENTS							My Achievements
BUTTON-FORMATIONS							Formations
BUTTON-BACK									Back
BUTTON-CAMPAIGN								For No Reason
BUTTON-QUICK-GAME							For Honor
BUTTON-LAN									For Pride
BUTTON-ONLINE								For Glory
BUTTON-ARENA								For Power
BUTTON-CUSTOM-GAME							For Fun
BUTTON-FORMATION-EDITOR						Formation Editor
BUTTON-NEW-PLAYER							New Player
BUTTON-RESUME								Resume
%===============================================================================================
% ACTION BUTTONS' TOOLTIPS
%===============================================================================================
NAME-ACTION-BOW								Bow
NAME-ACTION-SHIELD							Shield
DESCRIPTION-ACTION-SHIELD					Blocks incoming projectiles
DESCRIPTION-ACTION-BOW						Shoots an arrow at a random target

%===============================================================================================
% FORMATION BUTTONS' TOOLTIPS
%===============================================================================================
NAME-FORMATION-SQUARE						Square Formation
NAME-FORMATION-SPEAR						Spear Formation
NAME-FORMATION-OVAL							Oval Formation
NAME-FORMATION-OPEN							Open Formation

DESCRIPTION-FORMATION-SQUARE				+50 something
DESCRIPTION-FORMATION-SPEAR					+50 something
DESCRIPTION-FORMATION-OVAL					+50 something
DESCRIPTION-FORMATION-OPEN					+50 something

%===============================================================================================
% BATTLE SOLVING BUTTONS' TOOLTIPS
%===============================================================================================
NAME-BATTLE-SOLVING-1-VS-1					Man vs Man
NAME-BATTLE-SOLVING-ARMY-VS-ARMY			Army vs Army
NAME-BATTLE-SOLVING-DRAW					Tie

DESCRIPTION-BATTLE-SOLVING-1-VS-1			A random unit fights to his army
DESCRIPTION-BATTLE-SOLVING-ARMY-VS-ARMY		The armies engage into melee battle
DESCRIPTION-BATTLE-SOLVING-DRAW				No one wins this battle

%===============================================================================================
% LABELS
%===============================================================================================
START										Start
LABEL-LOAD									Load
LABEL-CLEAR									Clear
LABEL-SAVE									Save
LABEL-DELETE								Delete
LABEL-NEW-PLAYER							New Player
LABEL-SELECT-PROFILE						Select
LABEL-EDIT-PROFILE							Edit
LABEL-DELETE-PROFILE						Delete
LABEL-MENU									Menu
LABEL-MUSIC									Music
LABEL-SOUND-EFFECTS							Sound/Effects
LABEL-OPTIONS								Options
LABEL-RESOLUTION							Resolution
LABEL-READY									Ready?
LABEL-FULLSCREEN							Fullscreen
LABEL-ON									On
LABEL-OFF									Off
LABEL-SINGLE-PLAYER                         Single Player
LABEL-TUTORIAL                              Tutorial
LABEL-QUICK-MATCH                           Quick Match
LABEL-CAMPAIGN                              Campaign
LABEL-ARENA                                 Arena
LABEL-CUSTOM-GAME                           Custom
LABEL-MULTIPLAYER                           Multiplayer
LABEL-NICKNAME                              Nickname
LABEL-CANCEL                                Cancel
LABEL-OK                                    Ok
LABEL-BACK                                  Back

LABEL-UNITS									Units
LABEL-HEROES								Heroes

LABEL-PLAYER-NAME							Name
LABEL-PLAYER								Player

LABEL-INTELLIGENCE							Intelligence
LABEL-INTELLIGENCE-HUMAN					Human
LABEL-INTELLIGENCE-ARTIFICIAL				Artificial

LABEL-DIFFICULTY							Difficulty
LABEL-DIFFICULTY-EASY						Easy
LABEL-DIFFICULTY-NORMAL						Normal
LABEL-DIFFICULTY-HARD						Hard

LABEL-MATCH-CONFIGURATION					Match Config
LABEL-RANDOM								Random
LABEL-TURNS									Turns
LABEL-UNITS									Units
